"party","levels_of_party","race","gender","education","state_of_residence","president_voted_for","immigration_importance","environment_importance","gay_rights_importance","health_care_importance","climate_change_importance","abortion_importance","racial_equality_importance","gender_equality_importance","legality_abortion","gay_marriage","police_racial_bias","global_warming","religion_importance","age_group","ideology"
4,4,1,1,6,42,NA,3,2,1,1,2,4,2,2,1,1,2,1,4,"5","1"
1,1,2,2,4,17,1,2,2,1,1,2,1,1,1,1,1,2,5,1,"5","1"
2,7,1,1,3,42,2,1,2,3,2,4,1,1,2,3,2,1,1,1,"4","2"
3,3,1,2,5,8,4,2,1,2,1,1,1,2,1,1,1,2,4,4,"3","1"
1,1,1,1,5,34,3,3,2,1,2,1,3,1,2,1,1,2,1,2,"3","1"
1,1,1,2,5,17,1,1,2,2,1,2,1,1,1,1,1,2,1,3,"5","1"
3,3,1,1,6,17,1,1,1,2,1,1,2,1,2,1,1,2,1,1,"2","1"
3,3,2,1,2,39,1,3,2,3,1,4,2,1,2,2,2,2,5,4,"4","3"
2,6,1,1,6,31,2,1,4,2,2,4,4,4,4,8,1,1,4,4,"4","3"
1,2,1,1,5,27,1,3,1,1,1,1,1,1,1,1,1,2,1,4,"3","1"
1,2,1,1,6,39,1,2,1,3,2,1,4,1,2,2,1,2,1,2,"4","1"
1,1,1,2,6,42,1,2,1,1,1,1,3,1,1,8,1,2,1,2,"4","1"
3,4,1,1,6,36,2,1,NA,3,3,4,4,3,3,2,2,1,4,3,"2","3"
1,1,1,1,3,25,1,2,1,1,1,1,2,2,2,2,1,2,1,3,"3","3"
1,1,1,1,5,6,1,2,1,1,1,1,2,1,1,1,1,2,1,4,"3","1"
1,2,3,1,4,36,1,1,2,1,1,1,1,1,1,2,1,2,1,4,"4","1"
1,1,1,1,4,6,1,2,1,1,1,1,2,1,1,1,1,2,2,3,"4","3"
3,4,1,1,3,46,2,1,2,4,2,4,2,3,4,2,2,NA,4,1,"3","3"
1,2,1,2,5,20,4,2,1,2,1,1,2,2,1,1,1,2,1,4,"4","3"
3,3,7,1,5,37,1,1,1,1,1,1,1,1,1,1,1,2,1,3,"3","3"
2,7,1,2,4,42,2,2,2,3,1,4,3,2,4,2,1,1,4,3,"4","2"
1,1,1,1,6,41,1,3,1,1,1,1,3,1,1,2,1,2,1,4,"5","1"
3,4,4,1,6,51,1,2,2,2,2,3,3,1,2,2,1,1,3,3,"3","3"
